,personaje,fecha_hora,genero,fuente
227,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:52,,TN
228,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:53,,TN
229,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:54,,TN
230,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:55,,TN
231,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:56,,TN
232,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:57,,TN
233,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:58,,TN
234,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:03:59,,TN
235,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:00,,TN
236,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:01,,TN
237,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:02,,TN
238,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:03,,TN
239,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:04,,TN
240,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:05,,TN
241,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:06,,TN
242,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:07,,TN
243,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:08,,TN
244,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:09,,TN
245,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:10,,TN
246,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:11,,TN
247,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:12,,TN
248,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:13,,TN
249,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:14,,TN
250,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:15,,TN
251,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:16,,TN
252,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:17,,TN
253,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:18,,TN
254,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:19,,TN
255,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:20,,TN
256,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:21,,TN
257,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:22,,TN
258,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:23,,TN
259,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:24,,TN
260,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:25,,TN
261,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:26,,TN
262,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:27,,TN
263,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:28,,TN
264,NO IDENTIFICADO,2020-08-11 19:04:29,F,TN
265,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:30,,TN
266,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:31,,TN
267,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:32,,TN
268,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:33,,TN
269,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:34,,TN
270,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:35,,TN
271,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:36,,TN
272,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:37,,TN
273,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:38,,TN
274,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:39,,TN
275,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:40,,TN
276,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:41,,TN
277,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:42,,TN
278,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:43,,TN
279,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:44,,TN
280,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:45,,TN
281,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:46,,TN
282,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:47,,TN
283,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:48,,TN
284,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:49,,TN
285,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:50,,TN
286,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:51,,TN
287,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:52,,TN
288,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:53,,TN
289,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:54,,TN
290,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:55,,TN
291,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:56,,TN
292,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:04:57,,TN
293,franco_mercuriali,2020-08-11 19:04:58,M,TN
294,franco_mercuriali,2020-08-11 19:04:59,M,TN
295,franco_mercuriali,2020-08-11 19:05:00,M,TN
296,franco_mercuriali,2020-08-11 19:05:01,M,TN
297,franco_mercuriali,2020-08-11 19:05:02,M,TN
298,franco_mercuriali,2020-08-11 19:05:03,M,TN
299,franco_mercuriali,2020-08-11 19:05:04,M,TN
300,franco_mercuriali,2020-08-11 19:05:05,M,TN
301,franco_mercuriali,2020-08-11 19:05:06,M,TN
302,franco_mercuriali,2020-08-11 19:05:07,M,TN
303,franco_mercuriali,2020-08-11 19:05:08,M,TN
304,franco_mercuriali,2020-08-11 19:05:09,M,TN
305,franco_mercuriali,2020-08-11 19:05:10,M,TN
306,franco_mercuriali,2020-08-11 19:05:11,M,TN
307,franco_mercuriali,2020-08-11 19:05:12,M,TN
308,franco_mercuriali,2020-08-11 19:05:13,M,TN
309,franco_mercuriali,2020-08-11 19:05:14,M,TN
310,franco_mercuriali,2020-08-11 19:05:15,M,TN
311,franco_mercuriali,2020-08-11 19:05:16,M,TN
312,franco_mercuriali,2020-08-11 19:05:17,M,TN
313,franco_mercuriali,2020-08-11 19:05:18,M,TN
314,franco_mercuriali,2020-08-11 19:05:19,M,TN
315,franco_mercuriali,2020-08-11 19:05:20,M,TN
316,franco_mercuriali,2020-08-11 19:05:21,M,TN
317,franco_mercuriali,2020-08-11 19:05:22,M,TN
318,franco_mercuriali,2020-08-11 19:05:23,M,TN
319,franco_mercuriali,2020-08-11 19:05:24,M,TN
320,franco_mercuriali,2020-08-11 19:05:25,M,TN
321,franco_mercuriali,2020-08-11 19:05:26,M,TN
322,franco_mercuriali,2020-08-11 19:05:27,M,TN
323,franco_mercuriali,2020-08-11 19:05:28,M,TN
324,franco_mercuriali,2020-08-11 19:05:29,M,TN
325,franco_mercuriali,2020-08-11 19:05:30,M,TN
326,franco_mercuriali,2020-08-11 19:05:31,M,TN
327,franco_mercuriali,2020-08-11 19:05:32,M,TN
328,franco_mercuriali,2020-08-11 19:05:33,M,TN
329,franco_mercuriali,2020-08-11 19:05:34,M,TN
330,franco_mercuriali,2020-08-11 19:05:35,M,TN
331,franco_mercuriali,2020-08-11 19:05:36,M,TN
332,franco_mercuriali,2020-08-11 19:05:37,M,TN
333,franco_mercuriali,2020-08-11 19:05:38,M,TN
334,franco_mercuriali,2020-08-11 19:05:39,M,TN
335,franco_mercuriali,2020-08-11 19:05:40,M,TN
336,franco_mercuriali,2020-08-11 19:05:41,M,TN
337,carolina_amoroso,2020-08-11 19:05:42,F,TN
338,carolina_amoroso,2020-08-11 19:05:43,F,TN
339,carolina_amoroso,2020-08-11 19:05:44,F,TN
340,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:05:44,,TN
341,carolina_amoroso,2020-08-11 19:05:45,F,TN
342,carolina_amoroso,2020-08-11 19:05:46,F,TN
343,carolina_amoroso,2020-08-11 19:05:47,F,TN
344,carolina_amoroso,2020-08-11 19:05:48,F,TN
345,NO IDENTIFICADO,2020-08-11 19:05:48,M,TN
346,carolina_amoroso,2020-08-11 19:05:49,F,TN
347,carolina_amoroso,2020-08-11 19:05:50,F,TN
348,carolina_amoroso,2020-08-11 19:05:51,F,TN
349,carolina_amoroso,2020-08-11 19:05:52,F,TN
350,carolina_amoroso,2020-08-11 19:05:53,F,TN
351,carolina_amoroso,2020-08-11 19:05:54,F,TN
352,carolina_amoroso,2020-08-11 19:05:55,F,TN
353,carolina_amoroso,2020-08-11 19:05:56,F,TN
354,carolina_amoroso,2020-08-11 19:05:57,F,TN
355,NO IDENTIFICADO,2020-08-11 19:05:57,F,TN
356,carolina_amoroso,2020-08-11 19:05:58,F,TN
357,carolina_amoroso,2020-08-11 19:05:59,F,TN
358,carolina_amoroso,2020-08-11 19:06:00,F,TN
359,carolina_amoroso,2020-08-11 19:06:01,F,TN
360,NO IDENTIFICADO,2020-08-11 19:06:01,M,TN
361,carolina_amoroso,2020-08-11 19:06:02,F,TN
362,NO IDENTIFICADO,2020-08-11 19:06:02,M,TN
363,carolina_amoroso,2020-08-11 19:06:03,F,TN
364,carolina_amoroso,2020-08-11 19:06:04,F,TN
365,franco_mercuriali,2020-08-11 19:06:05,M,TN
366,carolina_amoroso,2020-08-11 19:06:06,F,TN
367,franco_mercuriali,2020-08-11 19:06:07,M,TN
368,carolina_amoroso,2020-08-11 19:06:08,F,TN
369,carolina_amoroso,2020-08-11 19:06:09,F,TN
370,NO IDENTIFICADO,2020-08-11 19:06:09,F,TN
371,carolina_amoroso,2020-08-11 19:06:10,F,TN
372,NO IDENTIFICADO,2020-08-11 19:06:10,F,TN
373,carolina_amoroso,2020-08-11 19:06:11,F,TN
374,NO IDENTIFICADO,2020-08-11 19:06:11,F,TN
375,carolina_amoroso,2020-08-11 19:06:12,F,TN
376,carolina_amoroso,2020-08-11 19:06:13,F,TN
377,carolina_amoroso,2020-08-11 19:06:14,F,TN
378,carolina_amoroso,2020-08-11 19:06:15,F,TN
379,carolina_amoroso,2020-08-11 19:06:16,F,TN
380,carolina_amoroso,2020-08-11 19:06:17,F,TN
381,NO IDENTIFICADO,2020-08-11 19:06:17,F,TN
382,carolina_amoroso,2020-08-11 19:06:18,F,TN
383,carolina_amoroso,2020-08-11 19:06:19,F,TN
384,carolina_amoroso,2020-08-11 19:06:20,F,TN
385,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:06:20,,TN
386,carolina_amoroso,2020-08-11 19:06:21,F,TN
387,NO IDENTIFICADO,2020-08-11 19:06:21,F,TN
388,carolina_amoroso,2020-08-11 19:06:22,F,TN
389,carolina_amoroso,2020-08-11 19:06:23,F,TN
390,carolina_amoroso,2020-08-11 19:06:24,F,TN
391,carolina_amoroso,2020-08-11 19:06:25,F,TN
392,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:06:25,,TN
393,carolina_amoroso,2020-08-11 19:06:26,F,TN
394,carolina_amoroso,2020-08-11 19:06:27,F,TN
395,carolina_amoroso,2020-08-11 19:06:28,F,TN
396,SIN PERSONAS IDENTIFICABLES,2020-08-11 19:06:28,,TN
397,carolina_amoroso,2020-08-11 19:06:29,F,TN
398,carolina_amoroso,2020-08-11 19:06:30,F,TN
399,carolina_amoroso,2020-08-11 19:06:31,F,TN
400,franco_mercuriali,2020-08-11 19:06:32,M,TN
